title,price_pln,brand,model,year,mileage_km,fuel,transmission,image_url
"Honda CRV 2,0 Execiutive,tempomat aktywny ,panorama , benzyna+gaz brc,",28000,,CR-V,2007,304000,LPG,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/ve1vskxtu7m11-PL/image;s=750x1000
"Honda CRV 2,0 Execiutive,tempomat aktywny ,panorama , benzyna+gaz brc,",28000,,CR-V,2007,304000,LPG,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/ve1vskxtu7m11-PL/image;s=750x1000
Skoda Octavia VRS 2.0 Diesel Avtomat Nowy samochód!,68000,,Octavia,2011,5000,Diesel,Automatyczna,https://ireland.apollo.olxcdn.com:443/v1/files/5fj1f4fxhfgq3-PL/image;s=1500x2000
Skoda Octavia VRS 2.0 Diesel Avtomat Nowy samochód!,68000,,Octavia,2011,5000,Diesel,Automatyczna,https://ireland.apollo.olxcdn.com:443/v1/files/5fj1f4fxhfgq3-PL/image;s=1500x2000
MAZDA 6 2.2 Skyaktiv-D 2014 – Stan SALONOWY | FULL OPCJA | BEZ WKŁADU,38500,,6,2014,217000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/ji81h4neqmzw-PL/image;s=1536x2048
MAZDA 6 2.2 Skyaktiv-D 2014 – Stan SALONOWY | FULL OPCJA | BEZ WKŁADU,38500,,6,2014,217000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/ji81h4neqmzw-PL/image;s=1536x2048
Skoda Octavia VRS 2.0 Diesel Avtomat Nowy samochód!,68000,,Octavia,2011,5000,Diesel,Automatyczna,https://ireland.apollo.olxcdn.com:443/v1/files/edcum2b8n0wl2-PL/image;s=2000x1500
Skoda Octavia VRS 2.0 Diesel Avtomat Nowy samochód!,68000,,Octavia,2011,5000,Diesel,Automatyczna,https://ireland.apollo.olxcdn.com:443/v1/files/edcum2b8n0wl2-PL/image;s=2000x1500
Sprzedam Kia Sorento 2.5crdi 2008 r 4x4,17900,,Sorento,2008,283409,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/qfi9pdfsxmw93-PL/image;s=4624x2084
Sprzedam Kia Sorento 2.5crdi 2008 r 4x4,17900,,Sorento,2008,283409,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/qfi9pdfsxmw93-PL/image;s=4624x2084
Audi a4b5 1.6 benzyna 1997 rok / KLIMA / okazj /ladna / zamiana,2300,,A4,1997,328000,Benzyna,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/32ia44m6etaf1-PL/image;s=1000x750
